,id,image_path,labelid,labelstr
0,0,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_17_07_altavista.jpg,0,operating_room
1,1,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_49_05_altavista.jpg,0,operating_room
2,2,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_43_17_altavista.jpg,0,operating_room
3,3,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_49_20_altavista.jpg,0,operating_room
4,4,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_23_20_altavista.jpg,0,operating_room
5,5,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_24_16_altavista.jpg,0,operating_room
6,6,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_08_06_altavista.jpg,0,operating_room
7,7,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_06_04_altavista.jpg,0,operating_room
8,8,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_04_16_altavista.jpg,0,operating_room
9,9,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_06_10_altavista.jpg,0,operating_room
10,10,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_25_01_altavista.jpg,0,operating_room
11,11,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_44_02_altavista.jpg,0,operating_room
12,12,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_07_10_altavista.jpg,0,operating_room
13,13,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_06_04_altavista.jpg,0,operating_room
14,14,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_27_01_altavista.jpg,0,operating_room
15,15,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_03_06_altavista.jpg,0,operating_room
16,16,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_21_11_altavista.jpg,0,operating_room
17,17,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_06_01_altavista.jpg,0,operating_room
18,18,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_16_01_altavista.jpg,0,operating_room
19,19,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_08_18_altavista.jpg,0,operating_room
20,20,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_07_14_altavista.jpg,0,operating_room
21,21,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_05_20_altavista.jpg,0,operating_room
22,22,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_49_20_altavista.jpg,0,operating_room
23,23,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_24_11_altavista.jpg,0,operating_room
24,24,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_27_01_altavista.jpg,0,operating_room
25,25,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_17_17_altavista.jpg,0,operating_room
26,26,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_01_20_altavista.jpg,0,operating_room
27,27,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_07_19_altavista.jpg,0,operating_room
28,28,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_11_15_altavista.jpg,0,operating_room
29,29,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_03_06_altavista.jpg,0,operating_room
30,30,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_08_17_altavista.jpg,0,operating_room
31,31,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_09_16_altavista.jpg,0,operating_room
32,32,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_42_18_altavista.jpg,0,operating_room
33,33,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_15_19_altavista.jpg,0,operating_room
34,34,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_31_13_altavista.jpg,0,operating_room
35,35,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_34_08_altavista.jpg,0,operating_room
36,36,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_22_09_altavista.jpg,0,operating_room
37,37,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_06_19_altavista.jpg,0,operating_room
38,38,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_08_16_altavista.jpg,0,operating_room
39,39,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_24_16_altavista.jpg,0,operating_room
40,40,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_18_11_altavista.jpg,0,operating_room
41,41,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_26_19_altavista.jpg,0,operating_room
42,42,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_34_16_altavista.jpg,0,operating_room
43,43,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_03_07_altavista.jpg,0,operating_room
44,44,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_14_05_altavista.jpg,0,operating_room
45,45,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_48_15_altavista.jpg,0,operating_room
46,46,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_07_14_altavista.jpg,0,operating_room
47,47,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_05_09_altavista.jpg,0,operating_room
48,48,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_16_10_altavista.jpg,0,operating_room
49,49,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_49_05_altavista.jpg,0,operating_room
50,50,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_10_18_altavista.jpg,0,operating_room
51,51,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_06_11_altavista.jpg,0,operating_room
52,52,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_02_07_altavista.jpg,0,operating_room
53,53,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_22_09_altavista.jpg,0,operating_room
54,54,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_30_08_altavista.jpg,0,operating_room
55,55,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_24_11_altavista.jpg,0,operating_room
56,56,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_06_10_altavista.jpg,0,operating_room
57,57,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_07_19_altavista.jpg,0,operating_room
58,58,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_23_11_altavista.jpg,0,operating_room
59,59,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_08_13_altavista.jpg,0,operating_room
60,60,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_03_07_altavista.jpg,0,operating_room
61,61,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_16_16_altavista.jpg,0,operating_room
62,62,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_16_16_altavista.jpg,0,operating_room
63,63,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_07_08_altavista.jpg,0,operating_room
64,64,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_51_07_altavista.jpg,0,operating_room
65,65,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_24_02_altavista.jpg,0,operating_room
66,66,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_51_07_altavista.jpg,0,operating_room
67,67,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_31_13_altavista.jpg,0,operating_room
68,68,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227operating_room_18_11_altavista.jpg,0,operating_room
69,69,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_07_01_altavista.jpg,0,operating_room
70,70,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_08_16_altavista.jpg,0,operating_room
71,71,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_11_12_altavista.jpg,0,operating_room
72,72,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_17_07_altavista.jpg,0,operating_room
73,73,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipoperating_room_02_19_altavista.jpg,0,operating_room
74,74,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/flipsurgery_room_08_17_altavista.jpg,0,operating_room
75,75,/home/ahmedaraby/PycharmProjects/indoor-scene-recognition/train2/operating_room/227surgery_room_30_14_altavista.jpg,0,operating_room
